0,40785230200,40785230900,00000000700,a00,read
0,40785231700,40785233500,00000001800,a09,mmap
0,40785236800,40785239700,00000002900,a09,mmap
0,40785241700,40785242700,00000001000,a09,mmap
0,40785250000,40785251000,00000001000,a09,mmap
0,40785260500,40785261000,00000000500,a09,mmap
0,40785361000,40785361200,00000000200,ada,set_tid_address
0,40785390100,40785397500,00000007400,a89,statfs
0,40785398400,40785399100,00000000700,a89,statfs
0,40785434500,40785434700,00000000200,a0c,brk
0,40785434700,40785435600,00000000900,a0c,brk
0,40781548800,40785444800,00003896000,a07,poll
0,40785448400,40785458200,00000009800,a00,read
0,40785486000,40785488200,00000002200,a09,mmap
0,40785556600,40785564600,00000008000,a4e,getdents
0,40785511400,40795601900,00010090500,a07,poll
0,40795608000,40795610700,00000002700,afe,inotify_add_watch
0,40795611500,40795611900,00000000400,afe,inotify_add_watch
0,40795612100,40795612400,00000000300,afe,inotify_add_watch
0,40795615600,40803541000,00007925400,a07,poll
0,40803615600,40803770500,00000154900,a07,poll
0,40803615600,40803776200,00000160600,a07,poll
1,01330957900,01331986500,00001028600,a17,select
1,01390604200,01390711100,00000106900,a17,select
1,40806087100,01392106500,-39413980600,a23,nanosleep
1,01392124100,01392168900,00000044800,a00,read
1,01392186000,01392203400,00000017400,a00,read
1,01392208100,01392208300,00000000200,a00,read
1,01392215300,01392219800,00000004500,a02,open
1,01419502800,01419517900,00000015100,7ef,local_timer_vector
1,01392220400,01427346300,00035125900,a23,nanosleep
1,01427357700,01427395800,00000038100,a00,read
1,01427409300,01427426400,00000017100,a00,read
1,01427430600,01427430800,00000000200,a00,read
1,01427436100,01427439500,00000003400,a02,open
0,40803779400,04719393600,-36084385800,a07,poll
0,04719395600,04719396500,00000000900,afe,inotify_add_watch
0,04719396700,04719397000,00000000300,afe,inotify_add_watch
0,04719397200,04719397500,00000000300,afe,inotify_add_watch
0,04719398800,04733489200,00014090400,a07,poll
0,04733491300,04733492400,00000001100,afe,inotify_add_watch
0,04733492500,04733492900,00000000400,afe,inotify_add_watch
0,04733493000,04733493300,00000000300,afe,inotify_add_watch
0,04733494500,04747585600,00014091100,a07,poll
0,04747587200,04747587800,00000000600,afe,inotify_add_watch
0,04747588100,04747588400,00000000300,afe,inotify_add_watch
0,04747588500,04747588700,00000000200,afe,inotify_add_watch
0,04747590000,04752195200,00004605200,a07,poll
0,04747590000,04752198400,00004608400,a07,poll
0,04752200400,04753390200,00001189800,a07,poll
0,04753446100,04771483900,00018037800,a07,poll
0,04771527600,04778625200,00007097600,a07,poll
0,04771527600,04778628500,00007100900,a07,poll
0,04778631100,04789578800,00010947700,a07,poll
0,04791489200,04791502400,00000013200,7ef,local_timer_vector
0,04789627700,04804912500,00015284800,a07,poll
0,04804915100,04804916600,00000001500,afe,inotify_add_watch
0,04804916900,04804917200,00000000300,afe,inotify_add_watch
0,04804917300,04804917600,00000000300,afe,inotify_add_watch
0,04804919200,04807673500,00002754300,a07,poll
1,17380714400,17380715600,00000001200,a36,setsockopt
1,17380812300,17380825200,00000012900,a00,read
